"CT.SI.1"	"CT.SI.2"	"CT.SI.3"	"ME.SI.4"	"ME.SI.5"	"ME.SI.6"
"PITG_00043"	12.3927136845625	5.45587266446952	8.36809102425524	4.32189155251021	3.12052238131448	4.21147742624632
"PITG_00065"	13.1672582898477	14.6974528920403	12.065619616368	26.0128944386935	26.2123880030416	20.0779737762906
"PITG_00124"	3.48545072378321	2.56091982209794	3.01640490409201	8.07296723959454	5.86658207687122	6.26824547162244
"PITG_00125"	32.0661466588055	16.3676179934086	20.5310140246262	47.3777168303478	47.3071193007275	40.939478236534
"PITG_00147"	11.0759878555778	14.1407311915843	6.81123688020775	22.6695443697705	29.5825521748612	16.8459097049853
"PITG_00179"	1451.8064081465	2709.00779441925	2744.83115933972	8006.18178333971	5942.84764387054	4226.65833324791
"PITG_00200"	5.4218122369961	2.11554246173308	5.05977596815433	11.4978624321498	11.3587014679847	10.675605568857
"PITG_00205"	74.8210088705462	95.9788211586271	109.271700235333	188.613870961436	158.647357866028	144.365528518304
"PITG_00213"	28.7356048560793	25.0524765205233	25.9800035287924	74.9399686180544	70.8982685034649	80.2139537696684
"PITG_00234"	260.634259678455	261.102477513899	262.719136808013	411.721329219322	421.769805058465	418.307443895303
"PITG_00257"	18.8214339084293	22.6029010385166	18.9741598805787	36.8583958817852	36.8221640995108	33.9856434164529
"PITG_00266"	687.563246111634	885.521536745431	892.563941459225	1357.56321823	1550.15069814178	1335.03834412008
"PITG_00329"	13.4770761319617	8.01679248656746	8.36809102425524	0.163090247264536	0.748925371515474	1.86088537438791
"PITG_00353"	17.3497991583875	12.8045991104897	23.0609020087034	38.7339337253273	36.5725223090057	31.3412273581122
"PITG_00360"	1.08436244739922	1.67016510136822	0.973033840029679	2.69098907986485	4.86801491485058	2.93824006482302
"PITG_00368"	10.6887155529352	15.6995519528613	12.6494399203858	30.6609664857328	27.4605969555674	29.0885766417479
"PITG_00384"	13.9418028951328	18.5945047952329	13.4278669924096	41.1802874342954	30.4562984416293	26.5421019189013
"PITG_00395"	41.5155908432844	37.0776652503745	41.7431517372732	26.1759846859581	23.4663283074849	21.9388591506785
"PITG_00403"	39.8115927116571	32.0671699462698	48.457085233478	91.4120835917725	88.7476565245837	62.6824547162244
"PITG_00416"	16.9625268557449	18.149127434868	21.212137712647	39.6309300852823	43.8121342336553	35.062998106888
"PITG_00436"	1.39418028951328	1.44747642118579	1.94606768005936	3.09871469802619	6.74032834363927	3.91765341976402
"PITG_00438"	6.42872022386681	3.22898586264523	4.76786581614543	2.69098907986485	0.873746266768053	1.37117869691741
"PITG_00451"	118.505324608629	104.775024025833	117.153274339573	71.3519831782346	71.2727311892226	53.4759691797789
"PITG_00452"	49.5708547382501	25.943231241253	46.1218040174068	24.5450822133127	18.3486716021291	17.8253230599263
"PITG_00453"	79.9330032654282	63.3549295119012	91.6597877307958	43.2189155251021	41.3157163286037	29.6762246547125
"PITG_00514"	10.6887155529352	10.6890566487566	4.76786581614543	27.3176164168098	21.0947312976859	18.0212057309145
"PITG_00550"	7.12581036862345	8.46216984693232	8.95191132827305	15.2489381192341	16.9756417543508	11.8509015947862
"PITG_00552"	22.8490658559121	24.6070991601585	32.7912404090002	52.025788877387	45.8092685576965	42.5065396044396
"PITG_00562"	8.51999065813673	8.35082550684111	8.56269779226118	19.5708296717443	15.1033283255621	19.1965017568437
"PITG_00570"	10.6112610924067	15.3655189325876	12.8440466883918	20.3047357844348	29.0832685938509	32.0268167065709
"PITG_00582"	2.71090611849805	2.89495284237158	3.69752859211278	5.05579766520062	14.229582058794	10.9694295753393
"PITG_00597"	6.35126576333829	12.1365330699424	8.56269779226118	20.9570967734929	20.2209850309178	13.2220802917036
"PITG_00623"	75.7504623968884	62.7982078114451	47.9705683134632	110.249007150826	129.314447481672	121.839021354661
"PITG_00625"	34.389780474661	49.9936087009554	55.2683221136858	91.248993344508	94.9887012872127	95.0030954292775
