"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"PITG_04266"	8.23344668775882	0.959243556028403	74.8934279179813	4.96821111458529e-18	1.51020190285786e-15
"PITG_15648"	7.22941007071796	0.0908142037618474	55.3228132030544	1.02274679683961e-13	1.8857103645992e-11
"PITG_14103"	6.82882321009892	1.39707813604191	110.949663539405	6.06923452071964e-26	4.01533415614905e-23
"PITG_09160"	5.70657417299585	2.66224486739771	83.9936339808842	4.96370529391271e-20	1.92506184278056e-17
"PITG_07390"	5.33491032416899	0.779758108860631	62.403565800857	2.79816129512987e-15	6.05210001660108e-13
"PITG_23272"	5.16611848555484	0.608037064490888	66.4763310155811	3.54120272112791e-16	9.0517970464831e-14
"PITG_08434"	5.10074945265698	0.566554918582342	63.2485604147957	1.82200772383005e-15	4.0984241739833e-13
"PITG_04446"	4.70495017478705	1.00622372326844	77.3247999222856	1.45033445487776e-18	4.79762106294417e-16
"PITG_13938"	4.56237982657611	1.9200738927664	93.4902298625483	4.08210577061957e-22	1.99614972183297e-19
"PITG_00923"	4.46120068776767	3.27084237739404	76.1362378474771	2.64753907732512e-18	8.27135333407657e-16
"PITG_16242"	4.41334694706789	0.401873223948138	37.1031762779008	1.12041069981484e-09	1.04142637527417e-07
"PITG_22799"	4.35940624807235	1.91124327305462	67.4507985174632	2.16010992782522e-16	5.7844657995834e-14
"PITG_22127"	4.27902085256298	0.277400461068877	37.9613405825799	7.21604033402043e-10	6.99644876178687e-08
"PITG_04558"	4.16796696392578	0.527933869737955	48.4121616483589	3.45419343402362e-12	5.24990723681941e-10
"PITG_13578"	4.01370638638044	2.36440200718871	92.0755605043683	8.34293625204801e-22	3.909708501116e-19
"PITG_23156"	4.00438714346185	2.10151945744916	51.0378050998983	9.06040400225501e-13	1.47684585236757e-10
"PITG_13661"	3.83987580825637	5.78045333081416	136.694868667105	1.40614263010151e-31	2.63581436012528e-28
"PITG_09002"	3.81975076124692	0.260460405727791	41.3257359927604	1.2886109573272e-10	1.49412447804733e-08
"PITG_19865"	3.73435389436543	1.29951051321618	63.518753040531	1.58847399711674e-15	3.64603409093306e-13
"PITG_10258"	3.56725807106068	1.88954435290397	48.0622337633233	4.12903320348381e-12	6.03106966747823e-10
"PITG_08846"	3.55965262460259	6.81528745070611	252.179884721642	8.69387188792042e-57	9.77799771234409e-53
"PITG_02507"	3.47907187076325	4.89125727023568	98.2283230265444	3.72819262908945e-23	1.99671345235091e-20
"PITG_11610"	3.45428196770264	-0.0323391380300684	29.5182532090134	5.53925625412278e-08	3.68639142545083e-06
"PITG_16867"	3.3622640879284	0.341937069615781	32.6931473231834	1.07917016983933e-08	8.3133060960157e-07
"PITG_06357"	3.34312678941021	3.77277028380611	101.575862376174	6.87782977481655e-24	4.29749730429787e-21
"PITG_19996"	3.26021743405416	0.792156119278917	40.9826887506971	1.53583587007828e-10	1.72735460307704e-08
"PITG_17861"	3.24185176899923	1.13212208934529	43.6196094442049	3.98822653180183e-11	5.03995323631182e-09
"PITG_07434"	3.19878710354171	1.80106440943463	53.1968637401287	3.0174016805765e-13	5.22103333868368e-11
"PITG_07090"	3.14510253015732	0.537929230711978	34.2168083115348	4.93012838482082e-09	4.04738349956787e-07
"PITG_07452"	3.14397919874267	3.86210775765687	64.5042101430375	9.63263024538386e-16	2.30506792276239e-13
"PITG_15858"	3.13630650711079	2.43229127837813	95.0068731178958	1.89725392158625e-22	9.69927948003664e-20
"PITG_04049"	3.11274330401584	1.37325887222822	38.2389342729973	6.25910139920106e-10	6.17509766989599e-08
"PITG_05221"	3.07271508736386	2.11693139536222	55.0627731360257	1.16741185353299e-13	2.11772276075573e-11
"PITG_15134"	3.057599836499	1.44075390702719	54.0292038278329	1.97531755727708e-13	3.5264121534437e-11
"PITG_08175"	3.0436289526361	3.89838233669419	115.221373198755	7.03849024891184e-27	5.2774599886341e-24
"PITG_07501"	3.02888849028444	0.287690181020995	28.8182764718711	7.94973857370422e-08	5.02307358081187e-06
"PITG_08178"	2.98728524370205	2.01358662134775	15.9963708638632	6.34640228186838e-05	0.00159682296340433
"PITG_09235"	2.95090714895409	1.48460602520765	48.0240563169317	4.21021744013543e-12	6.07080968579528e-10
"PITG_14685"	2.9074581425559	2.16591800742308	59.6290097459634	1.14534353752445e-14	2.30029977973884e-12
"PITG_09531"	2.89166814046949	1.11195491380078	25.6335182472251	4.12806268610386e-07	2.21087243002906e-05
