"US24_1_C"	"US24_2_C"	"US23_2_C"	"US8_2_C"	"US24_1_M"	"US24_2_M"	"US23_2_M"	"US8_2_M"
"PITG_00147"	2.58481970111275	2.63346565486177	4.90306136203232	11.3102329204628	17.8179861675816	34.403510791209	14.2158107111668	24.2172772286404
"PITG_00689"	19.7916096722457	19.3892526237075	19.011225023106	27.3774167457085	36.1431256416408	51.4178204029553	43.8217817139881	111.462926633131
"PITG_00831"	5.92988049078808	1.07074977175698	2.97346947116799	0.0665307818850753	0	0.0576756258025297	0.185423617971741	0
"PITG_00923"	0.380120544281287	0.115756732081836	1.01224492635506	0.898165555448517	6.11964989816368	68.9512106469243	12.4542863404353	19.5641759270676
"PITG_00972"	8.23594512609456	9.60780876279239	8.16122471873767	12.3081946487389	14.267913022238	20.9650899792196	51.3314382418436	38.9873487843906
"PITG_01041"	625.146247125005	794.959357572009	434.632665253704	671.861100866433	1460.09436934916	1129.60596915545	1512.34593211385	1822.81718412372
"PITG_01429"	25.5187592060838	41.0647007060313	47.1326543834075	40.4507153861258	16.9389204363536	13.2942317474831	11.5271682505766	15.2988330672925
"PITG_05198"	34.8697245954034	122.817892738828	176.668372302907	39.5192844397347	33.2354466845022	25.9251937982371	16.1936626361987	16.4621083926857
"PITG_05413"	24.5304457909524	32.7012768131187	40.8693889015856	26.1465972808346	105.792179731238	76.7662579431671	72.1606913273358	73.4273485695168
"PITG_05795"	1.67253039483766	1.93892526237075	2.30918373824748	3.92531613121944	6.76204408636871	12.7174754894578	8.49858249037145	22.4547388568326
"PITG_07452"	0.684216979706317	0.954993039675147	4.20714297516322	2.96061979388585	5.07153306477653	16.3798777279184	11.2799367599476	27.0725893909692
"PITG_07661"	105.394756244392	213.426474775885	32.8030621446937	87.1885896603912	23.7347747431542	15.5435811537818	17.0898767897288	19.5641759270676
"PITG_08846"	19.2847822798707	14.3248955951272	30.6520416761892	18.8282112734763	94.4995661070027	51.9657388480793	100.530504877012	225.640162358846
"PITG_09160"	0	0.405148562286426	2.27755108429889	0.232857736597764	2.80624829584301	17.9371196245867	16.9971649807429	12.3377686026553
"PITG_11443"	4.61212927061295	3.530580328496	10.0275513017048	11.1771713566927	11.1911829629402	31.9811345075027	43.2346069237442	74.4848715926016
"PITG_11446"	4.07996050861915	3.12543176620957	4.83979605413513	9.78002493710607	11.9011975920089	28.1168675787332	18.5732657335027	68.4569903610186
"PITG_11969"	71.259931367932	73.1293154926999	35.5867356921701	55.3868759193252	240.864010356453	252.013646944154	139.933023696007	129.652322630189
"PITG_12458"	0.30409643542503	0.144695915102295	0.474489809228935	0.56551164602314	3.44864248404804	4.15264505778214	2.07056373401777	2.82006139489263
"PITG_12545"	41.1290428912353	111.878881557094	51.4346953204165	77.6414224598829	24.7152711356776	9.1127488767997	10.2292029247744	10.6104809982835
"PITG_12666"	16.4212075129516	23.9327043579196	12.4948983096953	16.1004492161882	35.0611985878218	56.9546804799981	39.9587896729102	80.5832543590569
"PITG_13661"	22.9846222442085	8.16084961176944	4.65000013044356	7.85063226243889	57.5111849545659	79.7942282977999	14.4630422017958	112.308945051599
"PITG_14047"	40.7235809773353	45.6949699893048	26.9193885102549	39.0535689665392	18.3927599149229	14.2458795732248	8.71491004467182	17.872139090132
"PITG_14489"	1.03899615436885	2.77816156996406	2.49897966193906	3.82551995839183	0.439532865613966	0.230702503210119	0.309039363286235	0.352507674361579
"PITG_15399"	24.4544216820962	27.4343455033951	36.7887765422167	61.5409732436947	10.0416354682575	15.457067715078	2.13237160667502	6.06313199901915
"PITG_15596"	1.82457861255018	1.24438486987974	2.8785715093222	2.76102744823063	9.29781061875698	9.48764044451614	7.41694471886963	7.12065502210389
"PITG_16439"	30.8657881956405	31.3121960281366	43.5265318332676	37.0243801190444	64.1379881592072	83.8026842910757	87.0254847014037	78.609211382632
"PITG_16795"	63.1506930899312	45.8107267213866	25.2428578509793	35.3943759628601	22.8218987914944	12.7463133023591	10.8163777150182	8.10767651031631
"PITG_16910"	4.86554296680048	7.17691738907383	12.5581636175925	49.3991055496684	1.79194168288771	2.39353847080498	2.07056373401777	2.74955986002031
"PITG_17261"	1518.48020892527	2331.54315840932	3371.8511149966	3210.40961447337	6691.9554994135	5767.96630963359	9149.94475636985	9240.77717878417
"PITG_18366"	5.72714953383806	2.77816156996406	9.4265308766815	1.26408485581643	18.5280007966503	38.4119667844848	82.4517021247674	4.58259976670052
"PITG_19024"	37.4545442965162	38.46017423419	46.6897972281272	35.5939683085153	22.1456943828575	14.6496089538426	13.5050201756085	8.67168878929483
"PITG_19999"	1597.19050296111	2663.90967539929	1685.16637380354	2949.50915331104	4583.24586129985	5718.36527144342	4133.33967608073	7870.36834393609
"PITG_22087"	11.4036163284386	9.69462631185376	15.7846943203492	17.3645340720047	57.0040316480882	66.5288343632181	74.4784865519826	45.9670007367498
