"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"PITG_22020"	11.7773662656761	3.34785418894478	19.0049476795515	1.30379943345839e-05	0.00118864707128195
"PITG_08705"	11.7088933494356	3.29341462486461	105.72463585752	8.47274392342325e-25	3.37299935591479e-21
"PITG_19631"	10.713933385999	2.29876832159238	61.3135033699654	4.86730615413788e-15	4.4715567229899e-12
"PITG_09714"	10.6617395295306	2.23872698902458	15.7628116971409	7.18000409376477e-05	0.00461025746730283
"PITG_04800"	10.6242196131762	2.20435756204262	16.6357834770197	4.52884762210204e-05	0.00320047497933519
"PITG_03666"	10.5801036104997	2.16979225949351	81.861675699389	1.45952160306196e-19	3.48621330107379e-16
"PITG_12552"	10.350407910341	1.93414502580388	61.5093223155623	4.40651873904175e-15	4.3855877750313e-12
"PITG_08297"	10.2613024239013	1.84855288689584	54.2994528455884	1.72149750016494e-13	1.28499029027937e-10
"PITG_03663"	10.0530457105936	1.65833400718376	56.9273875904843	4.52204116593536e-14	3.85762411748328e-11
"PITG_02435"	9.94195977288635	1.54143558020336	64.3875251477103	1.02203208400157e-15	1.22061291792307e-12
"PITG_12553"	9.91463627239916	1.50547427744976	33.3084979330775	7.86382511631094e-09	2.46881350003317e-06
"PITG_18350"	9.71790299047989	1.31872065258049	14.4708219526862	0.000142347497148322	0.00758953642161791
"PITG_21323"	9.69055266472744	1.3071991008912	52.7031105176785	3.87976166231253e-13	2.43873650173677e-10
"PITG_00874"	9.50957532594152	1.12091788396658	54.4986925643333	1.55551280672756e-13	1.23849929671648e-10
"PITG_23322"	9.44526904040726	3.41215842878066	15.8029701656344	7.02920767830121e-05	0.00453782850280818
"PITG_01196"	9.4143248546752	1.02756114041139	48.1300170373311	3.98873299789202e-12	2.38187190969122e-09
"PITG_07371"	9.37116423893687	0.976467546122557	41.7783096787919	1.0223125674047e-10	4.77535546679587e-08
"PITG_21364"	9.36819424546841	0.984533328089602	35.5234457830233	2.51999030757411e-09	8.5989269266736e-07
"PITG_08079"	9.06639181995966	0.69060864513948	42.7249597226908	6.30032340785307e-11	3.13519843583289e-08
"PITG_11848"	9.00440207526212	0.66196566040922	27.277757971483	1.76226940819585e-07	3.42262976434193e-05
"PITG_12604"	8.99565084495107	0.615809806789169	27.6808141093029	1.43074707637142e-07	3.0513236309114e-05
"PITG_09733"	8.77437314916523	2.76830172338272	42.8932259232615	5.78104911744618e-11	3.00187259172434e-08
"PITG_02971"	8.60897307848656	3.47565084162916	127.502391083499	1.44227019432146e-29	8.61251646539061e-26
"PITG_08125"	8.58892723537409	0.250507273980204	13.8250216155216	0.000200646282596591	0.00986139322243245
"PITG_06824"	8.57725955328146	0.223060561423133	33.2601134094098	8.06193808099253e-09	2.46881350003317e-06
"PITG_07849"	8.53882555772365	2.62143092906888	13.9836140080901	0.000184410798910246	0.00929290367673024
"PITG_21096"	8.44540279039266	0.106572413419987	30.5552953841561	3.24485000643315e-08	8.80755536973435e-06
"PITG_05197"	8.37235948516794	0.0289249258090216	29.2639565789656	6.31596608615313e-08	1.53942006054953e-05
"PITG_22132"	8.31442979282147	-0.0072837565652816	25.5899038188111	4.22242919408424e-07	7.3084741833258e-05
"PITG_07447"	8.25313696644685	2.99217365396283	25.2123277690182	5.13528965913287e-07	8.76153777128912e-05
"PITG_02434"	8.21677185706497	2.25415992210122	72.8356075620589	1.40911457436044e-17	2.40415076594096e-14
"PITG_10569"	8.18611230002021	2.20540882375605	70.2811268623649	5.14273678515961e-17	6.8244117139068e-14
"PITG_07366"	8.16416538205963	2.19797513248471	79.3526126610771	5.1957488263418e-19	1.03421380388334e-15
"PITG_15146"	7.96907737857557	1.99143014434861	53.137383991691	3.11016578843029e-13	2.0635950006235e-10
"PITG_01461"	7.8894619138956	-0.401983990951872	20.996751844608	4.6006268910304e-06	0.000544012742174021
"PITG_12920"	7.07715376376334	2.4973930094312	70.8200730989487	3.91335082164074e-17	5.84214360785693e-14
"PITG_09480"	7.05020358303237	1.10417694747549	38.9260702022634	4.40162919721862e-10	1.75228858341273e-07
"PITG_04150"	7.01409658691654	1.03926610558777	19.6108881432236	9.49266880670047e-06	0.000906967548467389
"PITG_07775"	6.98971999789299	1.04061931572259	44.9798906826999	1.99068250999461e-11	1.13212958175551e-08
"PITG_01658"	6.82298057613109	0.867802519177312	16.5818461412084	4.65949082320317e-05	0.00325428648546874
"PITG_23273"	6.8226456434429	3.75498858197051	104.250655627227	1.78274008753415e-24	5.32281621635509e-21
"PITG_12739"	6.70837705191466	0.778946920576044	40.5060860740208	1.96004567895588e-10	8.36029483706074e-08
"PITG_21776"	6.67488774459886	1.5841297896826	53.2016309052894	3.01008780024198e-13	2.0635950006235e-10
"PITG_12173"	6.58513641574611	1.4550506255546	26.0814657940978	3.27310901667084e-07	5.92283954334846e-05
"PITG_08517"	6.43388053354181	1.40711267630403	20.2549499413829	6.77778715439576e-06	0.000734566377083498
"PITG_05907"	6.14265622542334	2.2733132560911	64.1098049818482	1.17674445834674e-15	1.27762355145774e-12
"PITG_02932"	5.98026935343994	0.937565754450273	31.3704936610739	2.13196394254734e-08	6.36551134146071e-06
"PITG_10570"	5.96459487848865	0.783109053563335	19.9761423213835	7.8414466253758e-06	0.000800984927722895
"PITG_20749"	5.9592196093966	1.26756118418644	28.7634973679543	8.1777992330632e-08	1.91504816157792e-05
"PITG_14767"	5.92983729669058	0.0930303419716365	19.9748189392939	7.84687570489648e-06	0.000800984927722895
"PITG_05866"	5.92491919106595	1.79274483329441	22.1538014455248	2.51657165741102e-06	0.000333949058938443
"PITG_21660"	5.87817290864165	0.8171584380616	38.0789301089603	6.793984062099e-10	2.61743715011769e-07
"PITG_17828"	5.78993302998055	2.51714251592397	21.6567574660348	3.26059316094874e-06	0.000401456331146503
"PITG_13019"	5.51561821462593	0.97329707387386	24.7324072740569	6.58672817585787e-07	0.00011079618958348
"PITG_00948"	5.1461709642602	0.818337952521407	22.6129027392528	1.98149400925962e-06	0.000273222373785694
"PITG_16727"	5.12509369715695	0.772921556752707	18.02511223355	2.18010066648514e-05	0.00176737078948998
"PITG_17826"	4.9951281447025	2.53248121965935	14.9987486187276	0.000107582493292755	0.00617720056440082
"PITG_23156"	4.97686797348437	6.33303792059436	43.141649136239	5.09167546373345e-11	2.76408545742584e-08
"PITG_07355"	4.86395627209703	0.700560189716837	14.622852603924	0.000131312511665786	0.00726048762418744
"PITG_18659"	4.85019418110988	0.372287820468978	19.3148669109212	1.10839959103765e-05	0.00104233199336714
"PITG_11375"	4.76103474545699	0.449223290358325	18.0167490005296	2.18969910633354e-05	0.00176737078948998
"PITG_22795"	4.71418369297587	1.05216050898515	27.2618822073697	1.77679850447291e-07	3.42262976434193e-05
"PITG_12143"	4.60938992162157	1.35387195377796	23.2578548231584	1.41670655583575e-06	0.000201425314242219
"PITG_01747"	4.52828465609853	2.53393033233394	18.777386374659	1.46898621674464e-05	0.00130926137213293
"PITG_14530"	4.44901434136929	3.07088463383294	14.2732026333187	0.000158099713434049	0.00817396050884351
"PITG_18664"	4.38622823507773	0.320555394542847	19.6167348179226	9.46366512552469e-06	0.000906967548467389
"PITG_01484"	4.37863468505497	2.61099720984035	18.467718508763	1.72806674677182e-05	0.00148162905090788
"PITG_13269"	4.32668413362693	2.15311951951712	26.272649368211	2.96457497035002e-07	5.44706444167543e-05
"PITG_06268"	4.30053207425553	1.85937912548278	27.3273265952315	1.7176672751063e-07	3.42262976434193e-05
"PITG_21189"	4.26317035294626	-0.339750141336858	14.8302234035944	0.000117635101524972	0.00662696234675824
"PITG_05863"	4.23685579896943	3.28785937897265	39.0080736762706	4.22056469576204e-10	1.73814497108573e-07
"PITG_03106"	4.09912166418542	0.835459976011293	18.9241857965261	1.36017287657117e-05	0.00122139433570598
"PITG_18012"	4.08677089199105	1.70466513844426	34.0990229978487	5.23775576197756e-09	1.69066262338643e-06
"PITG_04207"	4.0717543786595	0.535862793993671	19.8915889682545	8.19601258820867e-06	0.000822562843201481
"PITG_13231"	4.02839399993212	1.75628172428182	15.894583650617	6.69700997232884e-05	0.00439463681865513
"PITG_13930"	4.02591511444026	4.30626600303216	15.5885030181025	7.87318582380342e-05	0.00497565729497061
"PITG_13562"	3.98544501871588	0.907713244361041	20.5254773847944	5.88428057989903e-06	0.000673805681992754
"PITG_15021"	3.92486432071465	1.51823319398759	18.4388805194874	1.75441544439571e-05	0.00148602720939134
"PITG_18997"	3.8768971815208	0.107898416915993	17.2796122310211	3.22629979811082e-05	0.00246998067236138
"PITG_01343"	3.84985857060668	0.0829380856614259	14.5015147239926	0.000140046888066731	0.00750035867345727
"PITG_18605"	3.81474784766247	0.82458543314112	19.658299347392	9.26002391734714e-06	0.000906967548467389
"PITG_18603"	3.75035826007204	0.772039060985537	15.0561582523302	0.000104359204739059	0.00602107237777092
"PITG_19648"	3.74265758596652	-0.0216242744333778	15.3458230880056	8.95186176660868e-05	0.00553948627350298
"PITG_08795"	3.71952370277445	5.70129836817081	20.4944768659739	5.98035688614519e-06	0.000673805681992754
"PITG_15423"	3.64097687819089	0.400490044230355	14.0954156670857	0.000173766775681558	0.0088500807584861
"PITG_05941"	3.58276826820346	0.883253125435751	18.9720436669044	1.32647821191599e-05	0.00120016130946308
"PITG_10290"	3.46471579546449	2.9781201803062	14.7055462522318	0.000125676158746359	0.00701378674723257
"PITG_08758"	3.45846911769271	0.940368864100067	17.7205111663941	2.55852917562264e-05	0.00205077274795041
"PITG_04324"	3.42828748733738	4.30844026483811	19.2110066105634	1.17036639244611e-05	0.00107520660192184
"PITG_04121"	3.41316010185204	6.30797013538029	15.1596809141913	9.87904813457873e-05	0.00581209221040758
"PITG_10643"	3.3834598386061	3.29714600411385	26.744202271679	2.32247508347093e-07	4.33395623779583e-05
"PITG_04865"	3.30209348883461	2.20419744171007	13.868965514603	0.000196008561841195	0.00967506505163274
"PITG_19890"	3.25946680276913	3.50257612655877	27.3233285640945	1.72122239404829e-07	3.42262976434193e-05
"PITG_09534"	3.25856415196999	0.932369096351988	15.975613231326	6.41637137387661e-05	0.00423374161979052
"PITG_07156"	3.25111827397418	2.24283588617718	23.9603637761607	9.83394968591885e-07	0.000154535343551222
"PITG_10934"	3.23922762634177	3.1289902360826	18.0163478505417	2.19016056974392e-05	0.00176737078948998
"PITG_03986"	3.23896206393231	1.38801598250408	15.6838315156137	7.48613860416449e-05	0.00478112049997521
"PITG_03051"	3.18643746236559	1.4370228330533	18.5462353433961	1.65832428448149e-05	0.00144564722113595
"PITG_01956"	3.15844263023506	1.00656643919136	15.87781407448	6.75661451352815e-05	0.00440952170136977
"PITG_15073"	3.15514224425363	1.23555926350733	22.2290260463337	2.41987726989017e-06	0.000324725777913464
"PITG_13372"	3.11601819592139	3.13442817227509	28.101266292162	1.15130504709131e-07	2.54630299581694e-05
"PITG_14297"	3.09125946729395	5.29644881584073	17.1667366909858	3.42379357012249e-05	0.00257172117031276
"PITG_10654"	3.06511056167339	4.12968156904916	22.4935130021335	2.10854457882515e-06	0.000286163044373963
"PITG_10256"	3.00661874695174	3.10779905611595	31.1119059926126	2.43572802983389e-08	7.09509752690394e-06
"PITG_21941"	3.0006876804037	2.05758707704777	18.2276537991545	1.9601211068701e-05	0.00163704380275172
"PITG_00840"	2.98128776087375	5.68651643400711	41.7455264491602	1.0395984437469e-10	4.77535546679587e-08
"PITG_07958"	2.93513788926507	2.68786268181905	16.4295739890742	5.04913016304677e-05	0.00344581494498672
"PITG_13414"	2.88706938584802	3.48266367650511	27.8835116505925	1.28843050965966e-07	2.79776828670279e-05
"PITG_07146"	2.87881427219648	1.61731116885949	17.3814320493569	3.05798811103739e-05	0.00235622916194319
"PITG_09531"	2.86769527646982	3.43347335998903	20.2048488012049	6.95763553935259e-06	0.000741920011129357
"PITG_16382"	2.84726213416074	3.79961048219612	18.504900115584	1.69468038958681e-05	0.00146663535455328
"PITG_07059"	2.79826064181688	2.51899363978177	15.3010985073214	9.16631916057701e-05	0.00558537498646792
"PITG_04394"	2.77249598184972	2.44755717672828	15.3884954736881	8.75195229631417e-05	0.00544398782681667
"PITG_18366"	2.7644620351123	4.35496609625944	19.9529760234391	7.93703181125478e-06	0.000803321787473016
"PITG_17167"	2.75204000625588	2.28169940988128	18.5924993951554	1.61856128877584e-05	0.00143188722013702
"PITG_21507"	2.64110534239649	1.82405072607352	16.4531086211062	4.98683421605542e-05	0.00342285983002011
"PITG_09306"	2.63400585932428	3.61909290253341	15.250015282937	9.41759938462753e-05	0.0056805247197276
"PITG_11983"	2.61126957594346	3.0717472822968	15.2653898573521	9.34125065708769e-05	0.00566307393896438
"PITG_10728"	2.59593295339629	2.41655827447306	15.0776934271622	0.000103175326137237	0.00598166466047099
"PITG_07436"	2.59200017850162	3.71350833058301	27.2678124798207	1.77135727586498e-07	3.42262976434193e-05
"PITG_04378"	2.59050292946725	4.24950249412896	21.2382919217656	4.05580212218977e-06	0.000484384447453124
"PITG_13394"	2.54440869102558	1.73989462713203	15.2038944030862	9.65041971372033e-05	0.0057056912198496
"PITG_15062"	2.53829747596709	3.64406496211359	20.495463894246	5.97727377100167e-06	0.000673805681992754
"PITG_13983"	2.48271170884417	2.5519242083465	16.5310867195558	4.78589606702444e-05	0.00330392813459381
"PITG_23187"	2.48263462217614	2.71242366012036	19.6398774538033	9.34973157188912e-06	0.000906967548467389
"PITG_01195"	2.46672330918224	5.30741622110377	35.3838692534127	2.70719698631251e-09	8.98112600209175e-07
"PITG_02678"	2.43469652890778	3.61135112922522	24.5587487377652	7.20783399205811e-07	0.00011792213885911
"PITG_18326"	2.41820898198673	4.04667076956749	20.0865755451903	7.40143781206116e-06	0.000769036260211215
"PITG_14194"	2.4152592739832	2.81362794259984	22.040264181564	2.66990469952376e-06	0.000346594258982742
"PITG_16981"	2.4138110694724	5.50898048305164	14.8857633984287	0.00011422176136926	0.00646516822764487
"PITG_16152"	2.41263716453695	3.98258315963606	35.9394631641745	2.0354412593001e-09	7.36644695752155e-07
"PITG_18951"	2.40976247819426	6.0057916335748	20.9330295162327	4.75622613409609e-06	0.000556898124701074
"PITG_06785"	2.30066088282145	5.6764393122493	29.5360381803543	5.48866029721437e-08	1.36564729020065e-05
"PITG_01496"	2.22133978321848	2.97960606526788	16.166978468269	5.79963678411269e-05	0.00391566350063275
"PITG_07790"	2.20605444182876	5.04153483471009	41.5952084623153	1.12268089976355e-10	4.96599184662076e-08
"PITG_19938"	2.19693363106481	4.03792037107582	25.7298791321481	3.92699863590289e-07	6.89708010420415e-05
"PITG_19602"	2.16340292726644	3.68426829032483	14.0061781866267	0.00018221094243704	0.0092209545996846
"PITG_04464"	2.16288082464235	2.15932028473248	13.7797766379898	0.000205536869849203	0.00997856437645948
"PITG_10674"	2.1552051782539	4.07520101503684	19.24716721232	1.14840652099589e-05	0.00106321078141504
"PITG_11460"	2.128677208252	4.1151565634345	15.2078173450274	9.63039312670552e-05	0.0057056912198496
"PITG_15077"	2.12037041283768	2.95742693657994	14.6106423649778	0.000132166050420368	0.00726315474201483
"PITG_12878"	2.11386674021155	2.9390160057565	15.0859196777125	0.000102726670648644	0.00598166466047099
"PITG_18800"	2.09650759955734	2.85912271256566	16.6388058644253	4.52163694157316e-05	0.00320047497933519
"PITG_10292"	2.08987429001382	6.93421832319749	21.6114306262174	3.33856226270139e-06	0.000406861725545333
"PITG_02484"	2.07609977837317	3.65532464875771	18.5695503989902	1.63816432289546e-05	0.0014385732726721
"PITG_13573"	2.07204393013379	3.23693640435684	15.216378880262	9.58683166937076e-05	0.0057056912198496
"PITG_01398"	1.99663734430874	5.24787924780025	22.6043676800892	1.99031621195306e-06	0.000273222373785694
"PITG_21321"	1.995212725147	2.69654011806644	14.3934888621664	0.000148314253437514	0.00783768641063816
"PITG_13763"	1.9709798969479	6.56282784791395	18.3882873871328	1.80162027674561e-05	0.00151526415247696
"PITG_18574"	1.91207340603894	2.74266259228815	15.3148867854543	9.09965788888385e-05	0.00558537498646792
"PITG_18728"	1.88656836607548	5.1226685969733	16.5496521532199	4.73926785755572e-05	0.00329076023388302
"PITG_09367"	1.85796014872048	6.90741247824431	15.465465658326	8.40265399360797e-05	0.00528173140240316
"PITG_19609"	1.77976672796409	3.73615215347603	13.8858252299305	0.000194258031280915	0.00966676528161655
"PITG_04441"	1.77662555591005	5.97885720447694	24.0146453656452	9.56057130795923e-07	0.000152242537507943
"PITG_04478"	1.75438016370377	2.95764884355852	14.0913665205389	0.000174141252469583	0.0088500807584861
"PITG_03130"	1.70727604357235	4.0886623162545	14.4131800236613	0.000146771460771933	0.00779062913777421
"PITG_05140"	1.67402349772829	4.5844473552205	18.0671264056837	2.13251700163849e-05	0.0017564586586599
"PITG_12490"	1.66894588145794	3.64141686999025	15.2067317448848	9.63593091769738e-05	0.0057056912198496
"PITG_20609"	1.65058490298652	5.30655092761527	20.0856281710106	7.40510507613579e-06	0.000769036260211215
"PITG_13551"	1.61875355855723	5.60451940564281	17.5179243397792	2.8461179639527e-05	0.00220721992490176
"PITG_01784"	1.56084236473968	4.79716851467906	15.5882926031144	7.87406203424136e-05	0.00497565729497061
"PITG_00729"	1.55238677870533	3.95465692476184	16.0045219346008	6.31913723614377e-05	0.00421617072688631
"PITG_23123"	1.52622630810888	5.73397272949731	19.6435016457816	9.33201444841183e-06	0.000906967548467389
"PITG_21540"	1.51285336863504	6.90943255209476	16.637227532257	4.52540101674222e-05	0.00320047497933519
"PITG_10344"	1.49150484000038	4.61383672659447	17.1898606216908	3.38236840784745e-05	0.00256370372676965
"PITG_20608"	1.48499636523542	5.63312535837784	15.3063923941823	9.14066723928414e-05	0.00558537498646792
"PITG_09345"	-0.953777432899185	11.1943897239316	14.9052688697016	0.000113046808408504	0.00642913348963218
"PITG_09556"	-0.964997475446809	10.6082278468515	15.129556345581	0.00010037937299327	0.005876621821856
"PITG_08703"	-0.971027620667636	10.0834075687749	14.3343439447231	0.000153047122652192	0.00794713819928316
"PITG_04843"	-0.971907005343568	11.3122090656641	15.9830410256335	6.39124532639421e-05	0.00423374161979052
"PITG_18931"	-1.00612312594777	9.09616861789331	13.7927721865987	0.000204119997712761	0.00997439932157261
"PITG_21619"	-1.02360977713032	4.63664398852015	13.9051200697616	0.000192273979571009	0.00960806752308187
"PITG_16023"	-1.02775668337491	5.33598310947907	14.3426975949764	0.000152369536815933	0.00794650383490256
"PITG_01981"	-1.03266244999173	4.73941656545736	14.1517974773189	0.000168635909240346	0.00864385692728522
"PITG_01922"	-1.06209944624457	11.344393487625	17.1274560712254	3.49533478301503e-05	0.00260904895709678
"PITG_16038"	-1.08295579405145	4.54870369247265	14.5961665036969	0.000133185203759629	0.00726315474201483
"PITG_22135"	-1.1055508698456	9.22219043243292	16.7231341938354	4.32503732455599e-05	0.00311168197392604
"PITG_00125"	-1.11207437697561	4.46571527189835	14.5383288453818	0.000137336768349595	0.00738834695675322
"PITG_10146"	-1.11332856657126	10.229658980109	16.6081686171935	4.59526767962999e-05	0.00322831069987182
"PITG_12947"	-1.11368475689439	10.2419298821796	20.2686687653631	6.72935957282697e-06	0.000734566377083498
"PITG_14221"	-1.14997380359415	5.07718367369421	16.8696977399699	4.00356609530896e-05	0.00295151789359722
"PITG_08311"	-1.15842468505807	7.57948490208548	15.4300161846265	8.56175009647794e-05	0.00535355923571917
"PITG_08834"	-1.16426939318472	10.5864500724826	21.8697727650233	2.91794273365758e-06	0.000363010313209088
"PITG_16041"	-1.17182660458559	6.72649987661163	17.5670769606048	2.77348769351715e-05	0.00217127841894676
"PITG_11135"	-1.20151692452833	4.54852185516765	16.8532708994134	4.03836718046133e-05	0.00295890915559814
"PITG_11524"	-1.20499709693276	5.13518589979043	14.6927656344985	0.000126531098289597	0.00702865538080307
"PITG_02964"	-1.2145835030394	5.27104258140085	18.4580927614345	1.73681710731896e-05	0.00148162905090788
"PITG_08197"	-1.27447509328098	5.12124072575765	13.7882133549186	0.000204615911729489	0.00997439932157261
"PITG_05417"	-1.35292880596807	5.43678547280731	21.9680205842025	2.77231515578058e-06	0.00035223148835625
"PITG_03053"	-1.3535257654225	3.53210738345666	14.5982936350248	0.000133034951527835	0.00726315474201483
"PITG_15980"	-1.37464358364211	5.91747429942107	19.2924674682638	1.12147911145849e-05	0.00104639258032412
"PITG_04942"	-1.38758748580825	3.23652522548995	14.5472089231197	0.000136690992864677	0.00738834695675322
"PITG_09346"	-1.40584354366654	4.66036924701505	20.278079000519	6.6963423328083e-06	0.000734566377083498
"PITG_17003"	-1.42494033814731	4.79268087333724	20.3402430180071	6.48227805509675e-06	0.000723531278617013
"PITG_16103"	-1.43888793117812	3.79616583187168	14.3645404248489	0.000150612050360673	0.00788929700639261
"PITG_08127"	-1.49754174206567	4.0486792162942	17.5615282720563	2.78159254876375e-05	0.00217127841894676
"PITG_16043"	-1.52318141558515	6.39067093018765	23.4370641877183	1.29067681034167e-06	0.000187982355437934
"PITG_12985"	-1.55912998579864	3.95799759163698	23.7635783104247	1.08924220604555e-06	0.000166779739317974
"PITG_11446"	-1.56249353481712	4.22010781713886	20.2410620096678	6.82716803619428e-06	0.000734566377083498
"PITG_09194"	-1.59787894704397	6.8012793719844	23.573889690252	1.20207645278887e-06	0.000179454988445719
"PITG_02559"	-1.61929777366527	2.33892145432861	13.9139225976516	0.000191375625357875	0.00960335753634076
"PITG_03995"	-1.71768306623732	3.46052382518347	21.8917283554376	2.88474703158642e-06	0.000362658250507754
"PITG_00792"	-1.75700418259204	5.67442031402022	36.6608704821586	1.40572943194384e-09	5.24644581428291e-07
"PITG_08968"	-1.7615186509722	4.96492427173446	13.8686159382419	0.000196045025746891	0.00967506505163274
"PITG_07833"	-1.77087691463073	3.93195301224271	25.7349118509562	3.91677149915943e-07	6.89708010420415e-05
"PITG_08963"	-1.79208554676941	5.10746430963714	14.8059575506652	0.000119158470485215	0.00668126578875548
"PITG_02104"	-1.7986010446354	2.91507619053191	21.3057378578836	3.91557731685606e-06	0.000472361009042545
"PITG_07836"	-1.89034271506976	3.30254533220828	28.6802381851328	8.53704791652155e-08	1.96073006282725e-05
"PITG_08155"	-1.95706659096737	1.47908329840434	16.0309089817606	6.23167885510973e-05	0.00418117643632447
"PITG_04248"	-1.95928125641191	5.329792358204	20.6115976162155	5.62542982782351e-06	0.000652276780909672
"PITG_15235"	-1.96771039526171	3.99770885672963	28.5262647663738	9.24360314504528e-08	2.08295004455237e-05
